petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,h_alpha_flux
19.558933,19.270721,18.616695,18.092546,18.023111,293.274323
20.236374,18.588425,17.488705,17.01226,16.74711,20.960268
19.604925,18.35099,17.042978,16.506058,16.357956,4.311793
19.397688,18.144196,17.712753,17.43611,17.335981,114.377495
20.601952,18.73682,17.771029,17.358734,16.893869,12.860643
20.557272,18.900038,17.722021,17.248384,16.889336,19.917967
19.59988,17.9095,16.948626,16.482901,16.137436,38.913944
19.753326,18.495832,17.549803,17.176521,16.937796,41.192234
19.680016,18.433849,17.653824,17.272341,17.070293,10.472157
23.59322,19.786436,18.233906,17.649689,17.224379,9.461627
19.303719,18.328047,17.706207,17.291327,17.293781,48.908367
19.055855,17.944969,17.436457,17.119743,16.96332,210.036865
19.287766,17.552469,16.585732,16.154339,15.804629,7.066191
19.159864,17.914305,17.273933,16.893587,16.835121,241.691437
